Ministère;Instance;Texte(s) institutif(s);Nombre de membres;Coût de fonctionnement 2012 (k€);Coût de fonctionnement 2013 (k€);Coût de fonctionnement 2014 (k€);Nombre de réunions 2012;Nombre de réunions 2013;Nombre de réunions 2014;Justification de l’évolution des coûts de fonctionnement / Observations
Premier ministre;Comité d'orientation du Commissariat général à la stratégie et à la prospective (ex Centre d'analyse stratégique);Décret n° 2006-260 du 6 mars 2006 portant création du centre d'analyse stratégique Décret n° 2013-333 modifié du 22 avril 2013 portant création du commissariat général à la stratégie et à la prospective;12;0;0;0;;0;0;
Premier ministre;Comité de suivi des retraites;Article L.114-4 du code de la sécurité sociale;5;-;-;0;-;-;4;
Premier ministre;Comité de surveillance des investissements d'avenir;Décret n° 2010-80 du 22 janvier 2010 relatif au commissaire général à l'investissement;18;0;0;0;2;5;4;
Premier ministre;Conseil d'analyse économique;Décret n° 97-766 du 22 juillet 1997 portant création du conseil d'analyse économique;15;810.7;534.4;626.11;9;20;20;
Premier ministre;Conseil d'orientation des retraites;Articles L. 114-2 et D. 114-4-0-1 à D. 114-4-0-4 du code de la sécurité sociale;39;1115.7;1120;1051.22;21;18;20;
Premier ministre;Conseil d'orientation pour l'emploi;Décret n° 2005-326 du 7 avril 2005 portant création du conseil d'orientation pour l'emploi;51;592;549.4;467.38;23;22;22;
Premier ministre;Conseil de la simplification pour les entreprises;Décret n° 2014-11 du 8 janvier 2014 instituant le conseil de la simplification pour les entreprises;14;-;-;25.9;-;-;17;
Premier ministre;Conseil national de l'aménagement du territoire et de développement du territoire;Loi n° 95-115 du 4 février 1995 d'orientation pour l'aménagement et le développement du territoire Décret n° 2000-907 du 19 septembre 2000 relatif au conseil national de l'aménagement et du développement du territoire;70;0;0;0;0;0;0;
Premier ministre;Conseil national de la montagne;Loi n° 85-30 du 9 janvier 1985 relative au développement et à la protection de la montagne;59;0;11.76;0;1;1;0;
Premier ministre;Conseil national des villes;Décret n° 2009-539 du 14 mai 2009 relatif aux instances en charge de la politique de la ville Décret n° 2015-77 du 27 janvier 2015 relatif aux instances en charge de la politique de la ville;55;81;50;5;49;30;0;
